epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.092,2.46552,3.65788,1.8747,0.13131,0.19978,0.07858,0.02547,2.24367,22.3709,1.81168,0.000409946,0.000409946,0.000409946
2,74.793,2.3331,2.60015,1.83393,0.2012,0.19658,0.11736,0.03593,2.13319,29.7119,1.90038,0.000810246,0.000810246,0.000810246
3,115.296,2.3224,2.50057,1.84005,0.20464,0.24725,0.14125,0.04776,2.14812,26.6978,1.83317,0.00119405,0.00119405,0.00119405
4,159.105,2.31194,2.47157,1.85163,0.16528,0.25474,0.12765,0.04226,2.08457,17.8857,1.83938,0.00117575,0.00117575,0.00117575
5,200.286,2.28046,2.36841,1.79897,0.27011,0.24944,0.17259,0.05672,2.0299,10.7921,1.85649,0.001151,0.001151,0.001151
6,243.57,2.26497,2.32448,1.81378,0.26392,0.31799,0.2205,0.07583,2.04059,25.312,1.73381,0.00112625,0.00112625,0.00112625
7,285.775,2.22743,2.27842,1.79338,0.32463,0.3417,0.23528,0.08403,1.95887,12.92,1.75877,0.0011015,0.0011015,0.0011015
8,327.26,2.19138,2.19874,1.7359,0.31507,0.34029,0.25341,0.08747,1.9786,9.79426,1.7858,0.00107675,0.00107675,0.00107675
9,369.495,2.18663,2.19868,1.77893,0.37068,0.34555,0.28336,0.10088,1.95902,8.87538,1.75448,0.001052,0.001052,0.001052
10,410.982,2.1732,2.13295,1.74717,0.32087,0.39256,0.2926,0.10666,1.9102,9.95078,1.71916,0.00102725,0.00102725,0.00102725
11,452.994,2.14932,2.08248,1.71335,0.421,0.35585,0.31639,0.11466,1.92771,10.657,1.70204,0.0010025,0.0010025,0.0010025
12,494.601,2.14381,2.05037,1.7241,0.33747,0.34043,0.28572,0.10483,1.94827,6.45307,1.72383,0.00097775,0.00097775,0.00097775
13,536.335,2.11888,2.03871,1.69062,0.3586,0.3615,0.2891,0.10298,1.90651,7.71601,1.66312,0.000953,0.000953,0.000953
14,577.818,2.11313,2.04379,1.70306,0.34123,0.40724,0.31736,0.11609,1.90671,2.87716,1.67424,0.00092825,0.00092825,0.00092825
15,619.669,2.11074,2.00732,1.68699,0.41897,0.37696,0.34476,0.12757,1.89082,2.69613,1.67366,0.0009035,0.0009035,0.0009035
16,661.489,2.07971,1.94646,1.66526,0.36194,0.41387,0.34913,0.1325,1.87011,5.12101,1.64913,0.00087875,0.00087875,0.00087875
17,703.372,2.09122,1.95145,1.65451,0.42078,0.37205,0.34424,0.12678,1.90531,6.71686,1.66954,0.000854,0.000854,0.000854
18,745.193,2.07118,1.94209,1.64936,0.38162,0.41071,0.34924,0.13292,1.9033,4.90064,1.68365,0.00082925,0.00082925,0.00082925
19,787.059,2.05924,1.90215,1.62791,0.41784,0.39609,0.36055,0.13698,1.87925,5.71374,1.64089,0.0008045,0.0008045,0.0008045
20,828.881,2.02962,1.87603,1.63517,0.44686,0.39223,0.35691,0.12902,1.88697,4.35073,1.6794,0.00077975,0.00077975,0.00077975
21,870.403,2.03825,1.85473,1.62025,0.41015,0.40982,0.36918,0.14283,1.87305,4.19697,1.68606,0.000755,0.000755,0.000755
22,912.177,2.01523,1.83543,1.60088,0.43052,0.40114,0.36487,0.14317,1.89316,3.2571,1.71779,0.00073025,0.00073025,0.00073025
23,953.769,2.00355,1.81916,1.62039,0.39754,0.41571,0.34599,0.12999,1.88158,3.75,1.69519,0.0007055,0.0007055,0.0007055
24,995.539,1.98383,1.79392,1.60998,0.44948,0.41491,0.38063,0.14258,1.91459,2.7904,1.68996,0.00068075,0.00068075,0.00068075
25,1036.84,1.98498,1.75717,1.59126,0.47073,0.40032,0.39116,0.14944,1.90686,2.92129,1.69714,0.000656,0.000656,0.000656
26,1078.42,1.95407,1.7465,1.58435,0.4441,0.42536,0.37934,0.14439,1.90346,2.57591,1.6761,0.00063125,0.00063125,0.00063125
27,1120.08,1.97102,1.75181,1.59644,0.4723,0.40962,0.40231,0.14998,1.89689,3.70436,1.65758,0.0006065,0.0006065,0.0006065
28,1161.7,1.96132,1.7463,1.60402,0.4667,0.41123,0.39811,0.15722,1.8761,3.50978,1.67283,0.00058175,0.00058175,0.00058175
29,1203.22,1.94931,1.71334,1.56672,0.45747,0.42703,0.39677,0.15401,1.89349,2.67905,1.65184,0.000557,0.000557,0.000557
30,1244.95,1.91551,1.69141,1.582,0.41021,0.44848,0.39841,0.15844,1.87996,3.45493,1.68329,0.00053225,0.00053225,0.00053225
31,1286.5,1.90181,1.66171,1.55638,0.46404,0.41607,0.40085,0.15757,1.89924,2.16283,1.66766,0.0005075,0.0005075,0.0005075
32,1328.14,1.9063,1.63338,1.55139,0.45168,0.42045,0.39432,0.15809,1.88976,2.55666,1.69639,0.00048275,0.00048275,0.00048275
33,1370.21,1.88511,1.62999,1.55557,0.44246,0.44715,0.40908,0.15655,1.89602,2.93435,1.67534,0.000458,0.000458,0.000458
34,1411.8,1.89996,1.62665,1.55581,0.44598,0.44831,0.42034,0.16187,1.86844,2.10691,1.64181,0.00043325,0.00043325,0.00043325
35,1453.24,1.88445,1.60748,1.52665,0.44557,0.44988,0.40908,0.15796,1.90326,2.74784,1.68284,0.0004085,0.0004085,0.0004085
36,1494.81,1.87602,1.58576,1.53674,0.44442,0.46993,0.42468,0.1657,1.88271,2.40686,1.66522,0.00038375,0.00038375,0.00038375
37,1536.21,1.87531,1.56117,1.51952,0.45547,0.45326,0.4252,0.16842,1.89376,2.77162,1.69571,0.000359,0.000359,0.000359
38,1577.82,1.84546,1.52728,1.49871,0.46566,0.45274,0.42499,0.16551,1.91378,2.25542,1.68521,0.00033425,0.00033425,0.00033425
39,1619.29,1.82725,1.49667,1.50544,0.46396,0.46473,0.43473,0.16764,1.91961,2.40689,1.69763,0.0003095,0.0003095,0.0003095
40,1660.44,1.81271,1.48467,1.48963,0.46598,0.47131,0.42943,0.16756,1.92104,2.07787,1.7012,0.00028475,0.00028475,0.00028475
41,1703.41,1.8117,1.48435,1.54825,0.45301,0.45554,0.42675,0.16763,1.90076,2.35951,1.70602,0.00026,0.00026,0.00026
42,1744.29,1.78563,1.4357,1.5263,0.45908,0.47465,0.42969,0.17095,1.91223,2.67753,1.7041,0.00023525,0.00023525,0.00023525
43,1785.72,1.76085,1.40318,1.5119,0.46289,0.45897,0.42556,0.16962,1.94394,2.02608,1.73841,0.0002105,0.0002105,0.0002105
44,1826.74,1.76134,1.39201,1.51932,0.46133,0.44847,0.42466,0.16768,1.95049,2.31728,1.71949,0.00018575,0.00018575,0.00018575
45,1868.05,1.73829,1.35234,1.50721,0.4962,0.45664,0.43997,0.17562,1.93351,1.8948,1.73138,0.000161,0.000161,0.000161
46,1909.29,1.71974,1.34284,1.4919,0.47334,0.478,0.43901,0.17693,1.93588,1.98955,1.71992,0.00013625,0.00013625,0.00013625
47,1950.59,1.70506,1.31162,1.47768,0.46795,0.46227,0.43604,0.17456,1.94659,1.95545,1.74528,0.0001115,0.0001115,0.0001115
48,1991.89,1.69399,1.28142,1.46559,0.4953,0.46029,0.44065,0.17326,1.95203,2.07583,1.75037,8.675e-05,8.675e-05,8.675e-05
49,2032.94,1.6784,1.26578,1.43751,0.5072,0.46852,0.43991,0.17552,1.96043,2.06306,1.7609,6.2e-05,6.2e-05,6.2e-05
50,2074.09,1.66355,1.24909,1.45009,0.48385,0.475,0.4373,0.17402,1.96245,2.05554,1.76825,3.725e-05,3.725e-05,3.725e-05
