epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,557.557,2.09373,1.92952,1.62691,0.44077,0.38424,0.35215,0.13013,1.92194,2.83862,1.65369,0.00068075,0.00068075,0.00068075
25,581.799,2.08489,1.92153,1.6282,0.41615,0.3871,0.34846,0.13694,1.85948,3.22906,1.67878,0.000656,0.000656,0.000656
26,605.897,2.05909,1.9247,1.67914,0.42197,0.36872,0.34684,0.12956,1.91765,3.99896,1.65469,0.00063125,0.00063125,0.00063125
27,630.12,2.06933,1.95629,1.64827,0.42897,0.3563,0.31725,0.11544,1.92396,3.3013,1.69188,0.0006065,0.0006065,0.0006065
28,654.426,2.03342,1.85623,1.63484,0.41796,0.38852,0.34325,0.13003,1.87699,4.77207,1.64664,0.00058175,0.00058175,0.00058175
29,678.599,2.00052,1.82722,1.60764,0.44986,0.3995,0.38492,0.14891,1.86647,2.22942,1.63375,0.000557,0.000557,0.000557
30,702.669,2.00207,1.85289,1.61064,0.42454,0.41095,0.37652,0.14566,1.86907,2.74147,1.64299,0.00053225,0.00053225,0.00053225
31,726.666,1.96264,1.82241,1.60162,0.4495,0.39169,0.37608,0.14239,1.87011,2.35793,1.6369,0.0005075,0.0005075,0.0005075
32,750.506,2.0056,1.81939,1.63303,0.42625,0.40918,0.37298,0.14293,1.86132,2.52858,1.66075,0.00048275,0.00048275,0.00048275
33,774.447,1.98193,1.82692,1.61638,0.47841,0.37431,0.38578,0.14493,1.90644,2.59969,1.67642,0.000458,0.000458,0.000458
34,798.182,1.97852,1.79676,1.59756,0.4251,0.428,0.38645,0.14747,1.87255,2.29633,1.62463,0.00043325,0.00043325,0.00043325
35,822.197,1.97011,1.72084,1.5459,0.43452,0.44134,0.39236,0.14997,1.86657,2.17383,1.63185,0.0004085,0.0004085,0.0004085
36,846.205,1.94992,1.73182,1.56471,0.43842,0.45117,0.39647,0.15033,1.896,2.26519,1.65145,0.00038375,0.00038375,0.00038375
37,870.32,1.96884,1.74875,1.59906,0.44715,0.42232,0.3989,0.1543,1.89471,1.98889,1.67892,0.000359,0.000359,0.000359
38,894.527,1.93441,1.73008,1.55822,0.45996,0.43278,0.39823,0.15979,1.85887,2.3125,1.62652,0.00033425,0.00033425,0.00033425
39,918.733,1.93063,1.7286,1.55706,0.47029,0.43169,0.40469,0.15986,1.88142,2.08948,1.66033,0.0003095,0.0003095,0.0003095
40,942.622,1.92268,1.67208,1.54254,0.42313,0.4513,0.40887,0.1603,1.8701,2.3209,1.64753,0.00028475,0.00028475,0.00028475
41,968.367,1.92352,1.70708,1.63015,0.46104,0.41804,0.40057,0.15916,1.85445,2.24025,1.64488,0.00026,0.00026,0.00026
42,991.536,1.90397,1.66239,1.61241,0.44112,0.46522,0.42463,0.17181,1.86149,2.20321,1.63555,0.00023525,0.00023525,0.00023525
43,1014.83,1.88627,1.65819,1.61788,0.4716,0.44363,0.41236,0.16327,1.89095,2.19929,1.65064,0.0002105,0.0002105,0.0002105
44,1038.21,1.86648,1.61309,1.59066,0.46986,0.43323,0.42109,0.16714,1.87223,2.24081,1.65828,0.00018575,0.00018575,0.00018575
45,1061.51,1.85239,1.60841,1.57929,0.46267,0.46702,0.43255,0.17075,1.87249,2.38467,1.6392,0.000161,0.000161,0.000161
46,1085.03,1.83084,1.56639,1.57615,0.48934,0.44664,0.42878,0.17119,1.87529,2.16694,1.64353,0.00013625,0.00013625,0.00013625
47,1108.41,1.83744,1.53784,1.56984,0.48154,0.44826,0.43606,0.17383,1.87361,2.05884,1.65433,0.0001115,0.0001115,0.0001115
48,1131.81,1.83607,1.55179,1.56674,0.48781,0.45589,0.43588,0.1757,1.8754,2.05454,1.65912,8.675e-05,8.675e-05,8.675e-05
49,1155.02,1.83948,1.5486,1.57872,0.48625,0.47352,0.43908,0.17478,1.87638,2.04398,1.6548,6.2e-05,6.2e-05,6.2e-05
50,1178.22,1.7866,1.48914,1.53859,0.50882,0.45927,0.43902,0.1767,1.87331,2.01515,1.65485,3.725e-05,3.725e-05,3.725e-05
