epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3624,2.50424,3.6598,1.91031,0.16151,0.2073,0.10145,0.03233,2.14485,28.4026,1.76722,0.000409946,0.000409946,0.000409946
2,49.1629,2.3483,2.77886,1.81559,0.1785,0.30369,0.11847,0.0397,2.12862,47.4391,1.86163,0.000810246,0.000810246,0.000810246
3,71.8617,2.36154,2.58815,1.86035,0.18272,0.2443,0.12376,0.04033,2.17293,29.7599,2.08493,0.00119405,0.00119405,0.00119405
4,94.2485,2.37998,2.53643,1.86161,0.26726,0.24593,0.14316,0.04556,2.14789,13.4841,1.83548,0.00117575,0.00117575,0.00117575
5,116.694,2.37931,2.53562,1.89682,0.20498,0.27932,0.16213,0.05296,2.05667,14.8596,1.7856,0.001151,0.001151,0.001151
6,139.274,2.29819,2.39948,1.82858,0.31746,0.28998,0.22502,0.07304,2.03821,6.3508,1.74043,0.00112625,0.00112625,0.00112625
7,162.193,2.28865,2.38021,1.80592,0.18602,0.23966,0.0942,0.03135,2.13314,33.4906,1.84034,0.0011015,0.0011015,0.0011015
8,185.053,2.27808,2.34542,1.77756,0.25743,0.2871,0.19008,0.06451,1.99546,9.15629,1.76307,0.00107675,0.00107675,0.00107675
9,208.451,2.25565,2.23187,1.74555,0.23061,0.29752,0.17371,0.05875,2.0579,3.74682,1.72883,0.001052,0.001052,0.001052
10,231.277,2.22641,2.28129,1.75802,0.28633,0.33295,0.22737,0.07726,1.96777,18.8721,1.74316,0.00102725,0.00102725,0.00102725
11,254.187,2.21321,2.22217,1.7634,0.32612,0.32691,0.26326,0.08349,1.98789,4.96392,1.71492,0.0010025,0.0010025,0.0010025
12,277.317,2.17993,2.19393,1.72233,0.34175,0.32393,0.25295,0.09063,1.96946,4.47427,1.67503,0.00097775,0.00097775,0.00097775
13,300.501,2.19192,2.13555,1.7056,0.35316,0.36546,0.27903,0.09392,1.95397,4.15425,1.73702,0.000953,0.000953,0.000953
14,323.312,2.16778,2.15217,1.70073,0.33924,0.34203,0.26493,0.09384,1.97794,4.41598,1.77095,0.00092825,0.00092825,0.00092825
15,346.206,2.13634,2.09702,1.69086,0.42487,0.36152,0.31113,0.10989,1.99517,3.58831,1.75243,0.0009035,0.0009035,0.0009035
16,369.388,2.13392,2.09327,1.68646,0.36851,0.35133,0.29327,0.10627,1.93887,2.968,1.66922,0.00087875,0.00087875,0.00087875
17,392.384,2.14893,2.04768,1.67864,0.39452,0.38134,0.33116,0.12106,1.95386,3.01395,1.68861,0.000854,0.000854,0.000854
18,415.523,2.1174,2.02907,1.69099,0.3622,0.37456,0.29846,0.10884,1.94532,5.50925,1.68893,0.00082925,0.00082925,0.00082925
19,438.754,2.13919,2.02141,1.6704,0.37175,0.36944,0.31659,0.1081,1.93275,2.57133,1.67958,0.0008045,0.0008045,0.0008045
20,462.354,2.12162,2.01472,1.65793,0.36966,0.37382,0.31834,0.10976,1.92489,3.92798,1.65739,0.00077975,0.00077975,0.00077975
21,486.002,2.11088,2.01811,1.64551,0.42482,0.38419,0.33454,0.12021,1.90257,2.98423,1.63002,0.000755,0.000755,0.000755
22,509.614,2.0794,1.9907,1.6576,0.43975,0.37508,0.34529,0.12606,1.93506,2.96496,1.69178,0.00073025,0.00073025,0.00073025
23,533.579,2.09034,1.95732,1.64177,0.46264,0.3827,0.3549,0.1327,1.92695,2.85484,1.71174,0.0007055,0.0007055,0.0007055
